"school_address","school_id","school_name","rating","user_ratings_total","school_latitude","school_longitude","city"
"5 Helios Pl, Titirangi, Auckland 0604, New Zealand","4f67a9048aec108a6642acd812a9e6d0ff6f1232","Titirangi Rudolf Steiner School",4.7,11,-36.9520575,174.6410229,"Auckland"
"360 Albany Hwy, Albany, Auckland 0632, New Zealand","28e2bc6a74b1fbc8855ca0258769a129ef99fa7f","Kristin School",4,30,-36.7427163,174.6915822,"Auckland"
"Clyde St, Epsom, Auckland 1051, New Zealand","bcd4b484a359bf83a2bc5cefdd2dc8d79155a8c2","Diocesan School for Girls",3.8,40,-36.8797359,174.7789698,"Auckland"
"536 Albany Hwy, Albany, Auckland 0632, New Zealand","b619a9b54c9702ef2d61e5505dfe364b0c1d40ca","Albany Senior High School",4.1,12,-36.7298758,174.6956777,"Auckland"
"37 Heaphy St, Blockhouse Bay, Auckland 0600, New Zealand","94acaf9123deaa54c819b9667e5a1d1864daf806","Auckland International College",3.6,14,-36.9223537,174.6976369,"Auckland"
"122 Market Rd, Epsom, Auckland 1051, New Zealand","84d63852fd74de6f83111dfa5be2ce3a342ede8c","St Cuthbert's College",3.9,34,-36.8873974,174.7793807,"Auckland"
"27 Esplanade Rd, Mount Eden, Auckland 1024, New Zealand","52594f5afb3c0b057ce630de718e101a132c7e42","Ficino School",4,4,-36.8729208,174.759585,"Auckland"
"39 Somerville Rd, Somerville, Auckland 2014, New Zealand","74c7157610d87ce2ced2941593e78cfad34bbeb9","Somerville Intermediate School",4.3,30,-36.9123859,174.9384631,"Auckland"
"258 Remuera Road, Remuera, Auckland 1050, New Zealand","a0e268c7bf3e0bcf146f3f16d77ed710ab6eaf03","King's School",4.1,23,-36.879428,174.793096,"Auckland"
"55-87 Mountain Rd, Epsom, Auckland 1023, New Zealand","29f5175a344711167e230772dc8b31be543bc00b","Auckland Grammar School",3.5,96,-36.869454,174.768354,"Auckland"
"21 Henderson Valley Rd, Henderson, Auckland 0612, New Zealand","c492f2e419c98ff3631d29c3b4b2a3b4fa78137a","Henderson High School",2.8,53,-36.8836465,174.6267401,"Auckland"
"11 New St, St Marys Bay, Auckland 1011, New Zealand","584ec64f1f6c9961af76f5c96fec4450b7357b81","St Marys College",4.7,14,-36.8455847,174.7484138,"Auckland"
"514 Remuera Rd, Remuera, Auckland 1050, New Zealand","d79978515f3ed6b13fa287e5a81c6151ac5adff2","Saint Kentigern Girls' School",5,4,-36.881026,174.805424,"Auckland"
"19 Brixton Rd, Mount Eden, Auckland 1024, New Zealand","faaff875b1b34317f8c16f9acbb31ae815e3105e","Balmoral School",4.1,23,-36.8847932,174.7457672,"Auckland"
"275 Ormiston Rd, Manukau, Auckland 2016, New Zealand","0eba29633cfba6293a4e901d195af24cdbefd3b9","Ormiston Senior College",3.8,19,-36.9671716,174.9181089,"Auckland"
"19 Appleby Rd, Albany, Auckland 0632, New Zealand","b1d12c4306c0229495c2042d01128930d17d347d","Albany Junior High School",4.5,61,-36.7487414,174.6915972,"Auckland"
"23 Mountain Rd, Grafton, Auckland 1023, New Zealand","6816e7ad2a99e6c30d8ea34b7e1ae5e4ecabb9bb","St Peter’s College",3.9,57,-36.8668001,174.7694189,"Auckland"
"55 Amy St, Ellerslie, Auckland 1051, New Zealand","306505c58091d5ae41116faddbc94d02a89bad00","Michael Park School",5,11,-36.8928095,174.8155671,"Auckland"
"108 Shakespeare Rd, Milford, Auckland 0620, New Zealand","765d4b3f95deb38b0b8e470cf50e4e2f9d8416bc","Carmel College",3.5,16,-36.7791949,174.7572792,"Auckland"
"95 Wellington St, Freemans Bay, Auckland 1011, New Zealand","7c4451106ed954024a904dff15c20e5c8310ec19","Freemans Bay School",3.5,13,-36.8516646,174.7527745,"Auckland"
"51 Victor St, Avondale, Auckland 1026, New Zealand","c4195566c6792424c7b5bfde816aeba52aa248bc","Avondale College",3.7,61,-36.8902436,174.6903661,"Auckland"
"70 Hobsonville Point Rd, Hobsonville, Auckland 0657, New Zealand","e1754881f95f39e1a922018cd86ceca2becdf6d0","Hobsonville Point Secondary School",3,12,-36.7950424,174.6552811,"Auckland"
"67 Browns Rd, Manurewa, Auckland 2102, New Zealand","460a2e9ea3e64d97dfdf327d72fa5b8033af8519","Manurewa High School",4.1,27,-37.011771,174.882604,"Auckland"
