"school","school_id","distance","hospital","school_latitude","school_longitude","hospital_latitude","hospital_id","hospital_longitude","city_school","city_hospital","id"
"Titirangi Rudolf Steiner School","4f67a9048aec108a6642acd812a9e6d0ff6f1232",NA,NA,-36.9520575,174.6410229,NA,NA,NA,"Auckland",NA,1
"Kristin School","28e2bc6a74b1fbc8855ca0258769a129ef99fa7f",NA,NA,-36.7427163,174.6915822,NA,NA,NA,"Auckland",NA,2
"Diocesan School for Girls","bcd4b484a359bf83a2bc5cefdd2dc8d79155a8c2",1.07176,"MercyAscot Epsom, Mercy Hospital",-36.8797359,174.7789698,-36.8733367,"611ddfbbc4049014df64392f238224245eeea148",174.7699663,"Auckland","Auckland",3
"Diocesan School for Girls","bcd4b484a359bf83a2bc5cefdd2dc8d79155a8c2",1.64292,"Greenlane Clinical Centre",-36.8797359,174.7789698,-36.894527,"53332f5498eb9e5a9d7675711ec4277adb1bfb2a",174.7797492,"Auckland","Auckland",4
"Diocesan School for Girls","bcd4b484a359bf83a2bc5cefdd2dc8d79155a8c2",1.75711,"District Nursing Clinic - Building 17",-36.8797359,174.7789698,-36.8955688,"d262a199b2f52611f72571fb4fb69b4e5af7f668",174.779118,"Auckland","Auckland",5
"Albany Senior High School","b619a9b54c9702ef2d61e5505dfe364b0c1d40ca",NA,NA,-36.7298758,174.6956777,NA,NA,NA,"Auckland",NA,6
"Auckland International College","94acaf9123deaa54c819b9667e5a1d1864daf806",NA,NA,-36.9223537,174.6976369,NA,NA,NA,"Auckland",NA,7
"St Cuthbert's College","84d63852fd74de6f83111dfa5be2ce3a342ede8c",0.79189,"Greenlane Clinical Centre",-36.8873974,174.7793807,-36.894527,"53332f5498eb9e5a9d7675711ec4277adb1bfb2a",174.7797492,"Auckland","Auckland",8
"St Cuthbert's College","84d63852fd74de6f83111dfa5be2ce3a342ede8c",0.90713,"District Nursing Clinic - Building 17",-36.8873974,174.7793807,-36.8955688,"d262a199b2f52611f72571fb4fb69b4e5af7f668",174.779118,"Auckland","Auckland",9
"St Cuthbert's College","84d63852fd74de6f83111dfa5be2ce3a342ede8c",0.92569,"Cornwall Complex Greenlane Clinical Centre",-36.8873974,174.7793807,-36.8957324,"9d23ad6bd8ffcbc1cc4e5120dc26ccc99bee89f3",174.7789732,"Auckland","Auckland",10
"Ficino School","52594f5afb3c0b057ce630de718e101a132c7e42",0.92674,"MercyAscot Epsom, Mercy Hospital",-36.8729208,174.759585,-36.8733367,"611ddfbbc4049014df64392f238224245eeea148",174.7699663,"Auckland","Auckland",11
"Ficino School","52594f5afb3c0b057ce630de718e101a132c7e42",1.69125,"Women's Assessment Unit",-36.8729208,174.759585,-36.8603767,"f285a5f3de495edea0bf99dc1975181c6c29b69d",174.7703561,"Auckland","Auckland",12
"Ficino School","52594f5afb3c0b057ce630de718e101a132c7e42",1.71281,"Auckland Hospital",-36.8729208,174.759585,-36.8599009,"9a072bd8f166c488941e3e64a8ca365eb974c5ea",174.7699005,"Auckland","Auckland",13
"Somerville Intermediate School","74c7157610d87ce2ced2941593e78cfad34bbeb9",2.31997,"Howick Health & Medical Centre",-36.9123859,174.9384631,-36.8955894,"1efe4d8a6943613df51eb71e4add84231fbd0761",174.9229653,"Auckland","Auckland",14
"Somerville Intermediate School","74c7157610d87ce2ced2941593e78cfad34bbeb9",2.45867,"Botany SuperClinic™ PUBLIC HOSPITAL",-36.9123859,174.9384631,-36.9221321,"267de8a4f25b16ef8047f6c46ad7d18a42bb7184",174.9136843,"Auckland","Auckland",15
"King's School","a0e268c7bf3e0bcf146f3f16d77ed710ab6eaf03",1.11293,"Ascot Hospital",-36.879428,174.793096,-36.887462,"16410b103060c1395bc94db386bf218f01296463",174.800568,"Auckland","Auckland",17
"King's School","a0e268c7bf3e0bcf146f3f16d77ed710ab6eaf03",1.11582,"Ascot Central",-36.879428,174.793096,-36.8880407,"d6df1acd8ed4caa6b3fc09f89d7046e8f43acd7d",174.7995545,"Auckland","Auckland",18
"King's School","a0e268c7bf3e0bcf146f3f16d77ed710ab6eaf03",1.13023,"Ascot Angiography",-36.879428,174.793096,-36.8876102,"5582334c43825b84d5e9e4475917a0c707564be5",174.8006452,"Auckland","Auckland",19
"Auckland Grammar School","29f5175a344711167e230772dc8b31be543bc00b",0.45423,"MercyAscot Epsom, Mercy Hospital",-36.869454,174.768354,-36.8733367,"611ddfbbc4049014df64392f238224245eeea148",174.7699663,"Auckland","Auckland",20
